"id";"es_clon";"division";"eval_instructor";"eval_capitan";"eval_comandante";"eval_general";"estatura";"peso";"imc";"velocidad";"fuerza";"resistencia";"agilidad";"armadura";"presicion";"eficiencia"
398;"S";"Shoretrooper";644,08;652,89;645,42;657,22;195,24;102,54;26,9;78,32;68,17;86,9;82,45;50,93;50,56;26,31
399;"N";"Shoretrooper";641,19;654,77;653,84;657,51;195,09;102,22;26,86;59,91;70,33;82,32;92,67;31,19;47,35;44,37
400;"N";"Shoretrooper";650,54;653,92;644,81;666,68;194,94;93,84;24,69;60,12;69,71;80,16;91,72;45,09;42,87;62,4
401;"N";"Spacetrooper";635,42;655,62;649,82;647,72;195,03;96,82;25,45;68,06;70,41;83,66;89,01;36,19;55,32;65,31
402;"N";"Spacetrooper";644,94;657,56;644,95;654,45;195,03;92,34;24,28;67,44;68,69;79,24;81,86;60,92;54,2;13,46
403;"S";"Spacetrooper";642,13;646,74;640,89;641,41;194,99;101,84;26,79;79,82;67,16;83,96;93,71;49,06;48,71;27,99
404;"S";"Spacetrooper";640,53;653,34;653,19;654,92;195,06;102,91;27,05;76,74;69,97;80,19;84,58;60,08;46,03;75,36
405;"S";"Spacetrooper";644,12;651,75;647,88;650,74;194,85;108,19;28,5;88,69;68,31;79,63;89,53;53,34;57,61;43,56
406;"N";"Spacetrooper";640,71;648;652,47;642,16;194,83;101,25;26,67;65,34;71;82,92;76,11;51,16;53,96;77,82
407;"S";"Spacetrooper";635,99;656,67;655,11;646,35;194,79;78,36;20,65;87,25;67,9;79,16;77,41;45,71;43,04;95,01
408;"N";"Spacetrooper";643,68;655,2;662,78;652,88;195,05;91,17;23,96;64,93;70,65;85,26;79,24;37,9;48,93;5,7
409;"N";"Spacetrooper";638,36;654,11;641,71;644,26;195,19;83,27;21,86;73,56;71,39;85,93;93,82;46,78;62,74;95,5
410;"N";"Spacetrooper";647,95;656,8;654,06;646,68;194,84;90,52;23,84;63,71;69,91;85,72;82,51;39,05;54,37;54,25
411;"N";"Spacetrooper";641,47;650,67;646,54;641,05;195,02;91,54;24,07;67,3;67,74;86,46;93,47;44,69;50,3;68,06
412;"S";"Spacetrooper";639,59;647,04;650,73;657,23;195,09;92,3;24,25;74,38;67,61;83,96;82,58;48,33;55,81;93,99
413;"S";"Spacetrooper";633,08;646,02;654,03;651,99;195,1;88,05;23,13;71,66;67,06;82,22;80,66;54,52;66,44;73,59
414;"N";"Spacetrooper";641,7;657,22;653,07;651,03;194,97;92,57;24,35;66,7;68,28;86,3;88,98;47,16;60,39;93,48
415;"N";"Spacetrooper";635,66;647,44;650,77;644,56;194,94;98,03;25,8;68,04;71,97;82,87;79,01;47,09;54,1;26,63
416;"N";"Spacetrooper";644,14;648,05;657,99;653,23;195,14;92,04;24,17;61,74;70,29;80,63;87,59;52,69;57,41;49,39
417;"N";"Spacetrooper";642,66;652,8;653,53;655,89;195,05;101,65;26,72;62,56;69,33;85,84;85,72;58,35;48,03;68,05
418;"N";"Spacetrooper";641,27;648,45;644,15;639,68;194,94;95,01;25;73,54;68,79;82,12;92,79;46,11;51,31;39,65
419;"S";"Spacetrooper";639,55;648,34;653,56;649,32;195,06;95,31;25,05;86,38;69,84;80,8;89,64;40,3;58,93;55,75
420;"S";"Spacetrooper";631,95;652,91;650,65;653,1;194,9;88,96;23,42;72,3;70,34;86,15;78,54;50,65;59,89;33,56
421;"S";"Spacetrooper";636,04;657,99;651,99;650,41;194,88;93,23;24,55;86,62;67,34;83,66;86,98;47,02;55,76;16,11
422;"S";"Spacetrooper";642,39;649,28;653,37;653,3;194,97;105,99;27,88;76,22;69,57;82,06;92,71;48,16;56,22;67,95
423;"N";"Spacetrooper";632,42;657,43;656,89;650,01;195,02;89,85;23,62;65,05;68,67;80,95;91,15;52,28;52,4;66,9
424;"S";"Spacetrooper";637,5;642,29;648,77;652;194,83;96,43;25,4;81,1;71,69;85,28;76,49;53,91;47,09;44,75
425;"N";"Spacetrooper";636,07;650,16;650,83;651,35;194,99;96,61;25,41;64,14;67,84;79,71;87,68;52,35;58,42;64,35
426;"S";"Spacetrooper";638,98;656,14;648,3;640,12;194,84;91,37;24,07;76,7;71,83;83,47;84,97;59,53;63,46;12,57
427;"S";"Spacetrooper";643,87;657,45;644,51;650,48;194,85;101,7;26,79;72,11;71,55;83,69;78,22;39,25;45,69;48,14
428;"S";"Spacetrooper";638,21;654,23;653,21;646,97;195,17;94,27;24,75;76,42;71,5;86,74;89,19;46,08;54,26;43,17
429;"S";"Spacetrooper";637,12;654,38;648,8;645,29;194,9;108,51;28,57;78,3;71,43;79,01;87,25;31,19;53,47;50,87
430;"N";"Spacetrooper";639,28;645,73;650,87;646,52;194,9;98,79;26,01;62,8;69,51;86,15;81;49,11;61,76;8,48
431;"S";"Spacetrooper";649,94;652,56;651,6;651,92;194,89;85,25;22,44;83,77;68,4;83,02;84,07;46,97;54,13;80,71
432;"S";"Spacetrooper";651,44;651,21;641,05;644,96;195;114,44;30,1;72,39;67,91;86,74;77,74;48,18;61,85;55,89
433;"N";"Spacetrooper";636,01;648,02;646,1;655,35;194,91;93,57;24,63;62,66;68,46;80,04;75,66;39,92;58,53;84,36
434;"N";"Spacetrooper";635,33;656,81;660,84;649,77;195,15;104,38;27,41;66,14;69,51;84,33;85,98;52,71;64,53;13,73
435;"N";"Spacetrooper";631,68;642,69;649,36;637,85;195,08;91,84;24,13;65,82;71,15;85,27;92,19;46,42;51,43;87,6
436;"N";"Spacetrooper";645,24;658,16;643,2;648,35;195,24;96,57;25,33;66,91;68,34;84,03;80,26;54,32;56,54;85,01
437;"N";"Spacetrooper";635,57;647,25;650,34;649,65;194,97;90,36;23,77;70,21;68,61;85,5;89,46;48,5;53,67;64,69
438;"S";"Spacetrooper";643,88;651,3;655,49;653,74;195,03;91,69;24,11;79,72;69,96;79,66;75,53;36,05;47,14;70,03
439;"N";"Spacetrooper";635,96;649,22;653,8;652,45;195,07;102,18;26,85;68,17;70,43;82,85;86,05;54,01;48,11;83,59
440;"S";"Spacetrooper";634,99;649,4;651,37;649,43;195,12;89,11;23,41;87,22;67,56;84,56;88,7;45,35;52,81;47,9
441;"S";"Spacetrooper";636,51;648,01;648,53;646,88;194,94;93,13;24,51;75,92;69,57;84,37;88,31;48,31;56,69;82,84
442;"N";"Spacetrooper";629,42;654,36;661,24;653,87;195,16;96,02;25,21;70,79;71,02;81,32;93,19;46,17;45,21;94,93
443;"S";"Spacetrooper";640,5;657,85;653,92;649,74;194,93;97,24;25,59;81,93;69,91;86,85;81,88;54,96;50,51;61,44
444;"S";"Spacetrooper";639,74;657,36;645,35;653,42;194,79;110,43;29,1;78,44;71,6;82,13;85,38;40,73;68,9;62,4
445;"S";"Spacetrooper";648,37;652,21;646,95;645,19;194,89;85,5;22,51;70,95;67,26;86,18;93,05;44,94;53,43;39,48
446;"S";"Spacetrooper";636,76;647,43;655,32;648,65;194,9;115,1;30,3;72,85;70,61;85,56;75,49;53,82;68,49;84,68
447;"S";"Spacetrooper";639,25;642,64;650,38;652,28;194,79;94,03;24,78;78,19;71,87;81,19;77,69;53,54;59,97;20,8
448;"S";"Spacetrooper";645,36;660,12;646,62;643,57;194,94;98,76;25,99;78,02;70,92;85,03;80,74;63,06;63,94;78,39
449;"S";"Spacetrooper";638,39;647,27;659,73;652,65;195,03;107,26;28,2;79,5;69,36;80,91;92,99;45,06;48,28;68,53
450;"N";"Spacetrooper";631,53;651,67;650,09;644,88;194,97;100,05;26,32;58,24;70,4;84,72;83,12;56,71;58,35;88,36
451;"N";"Spacetrooper";649,05;651,34;647,35;655,49;194,94;89,7;23,6;62,13;71,31;83,39;75,37;56,58;66,6;97,77
452;"N";"Spacetrooper";647,95;642,03;642,4;657,45;195,24;88,88;23,32;61,42;71,37;79,86;91,03;54,64;49;60,39
453;"N";"Spacetrooper";639,58;650,8;655,7;638,38;194,77;89,28;23,53;72,43;69,8;83,45;87,44;51,67;50,88;51,04
454;"S";"Spacetrooper";645,09;645,82;656,47;650,83;194,7;105,34;27,79;82,86;70,37;84,8;77,92;53,76;48,29;81,79
455;"S";"Spacetrooper";640,86;650,29;644,47;646,8;195,04;105,9;27,84;83,38;68,15;80,4;88,87;48,93;50,48;95,08
456;"S";"Spacetrooper";633,73;653,19;644,02;650,16;194,84;102,37;26,97;70,53;67,84;85,91;76,06;58,03;50,84;31,89
457;"N";"Spacetrooper";638,17;648,8;650,38;648,76;195,16;104,17;27,35;62,01;67,74;81,61;85,12;47,57;59,71;81,2
458;"S";"Spacetrooper";638,64;644,03;649,67;647,47;195,12;84,61;22,22;78,74;67,53;80,9;91,64;59,95;58,18;10,88
459;"S";"Spacetrooper";645,51;647,09;654,87;649,69;194,93;101,98;26,84;78,59;68,07;80,57;92,17;62,52;53,87;48,35
460;"N";"Spacetrooper";637;638,61;648,97;649,55;194,96;94,26;24,8;59,06;68,19;86,34;85,74;64,55;52,44;49,45
461;"N";"Spacetrooper";639,76;648,58;645,46;649,38;194,88;100,35;26,42;60,99;71,68;86,45;85,63;45,63;61,55;33,94
462;"S";"Spacetrooper";638,18;651,16;646,1;653,84;194,83;93,54;24,64;79,72;68,71;85,77;77,07;62,56;50,28;67,81
463;"S";"Spacetrooper";639,04;644,23;660,06;645,45;194,96;96,41;25,36;84,08;70,24;79,91;77,86;54,74;57,12;95,13
464;"N";"Spacetrooper";634,73;654,4;652,47;653,85;194,91;101,19;26,64;73,55;69,82;80,32;82,02;52,85;64,49;55,55
465;"S";"Spacetrooper";629,45;654,22;644,77;659,78;195,17;108,34;28,44;75,97;71,89;79,49;78,57;38,21;46,28;45,94
466;"S";"Spacetrooper";639,58;644,67;652,96;650,27;195,09;83,06;21,82;88,81;68,52;80,57;92,36;48,59;52,97;87,19
467;"S";"Spacetrooper";643,28;666,54;643,49;647,91;195,02;87,56;23,02;80,12;67,12;80,75;76,66;46,26;65,51;21,23
468;"S";"Spacetrooper";642,78;650,07;656,22;644,15;195,21;96,51;25,33;73,51;70,91;84,02;77,48;62,29;53,73;63,82
469;"N";"Spacetrooper";638,88;658,17;647,05;656,36;195,21;97,85;25,68;73,2;71,67;81,05;90,28;48,46;51,22;74,08
470;"N";"Spacetrooper";641,12;653,63;660,46;659,97;194,76;91,85;24,21;67,27;67,03;80,96;91,76;44,29;56,36;62,97
471;"S";"Spacetrooper";634,54;650,25;649,57;649,88;195,02;100,53;26,43;81,97;71,59;85,74;93,15;53,74;52,44;55,75
472;"S";"Spacetrooper";635,64;652,24;646,16;655,74;194,85;104,98;27,65;81,04;70,84;81,28;75,53;50,94;53,06;6,49
473;"S";"Spacetrooper";646,74;649,17;648,38;647,31;195,07;100,62;26,44;73,51;70,73;81,34;81,43;53,18;60,83;97,3
474;"S";"Spacetrooper";633,73;645,35;648,73;659,69;195;100,19;26,35;67,74;67,5;85,54;78,12;31,61;42;52,77
475;"N";"Spacetrooper";641,12;642,8;648,39;659,97;195,24;107,88;28,3;69,66;67,6;80,82;88,75;40,26;55,64;53,77
476;"S";"Spacetrooper";642,03;642,71;652,98;652,22;195;92,8;24,4;76,21;67,63;79;89,23;61,53;51,33;66,79
477;"N";"Spacetrooper";648,63;654,96;654,21;657,3;194,99;105,21;27,67;59,54;67,27;84,29;76,25;43,68;62,14;19,56
478;"N";"Spacetrooper";645,31;649,57;640,22;658,55;195,12;94,08;24,71;67,42;67,35;83,35;80,88;50,04;66,49;95,4
479;"N";"Spacetrooper";634,23;646,37;662,91;655,49;195,05;89,42;23,5;58,97;69,53;79,88;76,61;39,32;50,77;72,24
480;"N";"Spacetrooper";639,05;651,23;652,26;643,58;195,16;103,77;27,25;58,18;71,64;84,35;75;44,69;53,32;27,32
481;"S";"Spacetrooper";650,2;648,77;645,27;656,93;195,1;98,17;25,79;81,95;70,27;85,98;76,95;62,16;50,84;35,43
482;"S";"Spacetrooper";649,87;650,46;642,75;652,92;194,9;97,03;25,54;85,24;68,33;83,39;86,35;46,14;53,72;38,59
483;"S";"Spacetrooper";633,03;655;651,03;644,8;195,19;102,22;26,83;78,93;70,75;82,3;93,7;54,11;56,48;22,85
484;"N";"Spacetrooper";640,73;653,7;638;652,88;194,99;95,4;25,09;60,48;69,33;79,68;86,17;37,77;58,82;90,93
485;"N";"Spacetrooper";638,76;652,55;641,55;652,37;194,86;94,64;24,92;71,31;69;83,57;85,06;58,53;48,63;24,38
486;"S";"Spacetrooper";645,03;651,79;653,72;643,35;194,9;104,42;27,49;86,35;70,51;85,12;80,27;43,81;58,67;56,4
487;"S";"Spacetrooper";636,15;646,78;649,22;644,42;195,01;110,35;29,02;85,27;71,67;84,04;91,1;49,9;60,78;14,52
488;"N";"Spacetrooper";636,44;641,95;651,33;648,78;194,94;83,81;22,05;65,2;69,13;84,16;89,03;53,28;63,46;95,27
489;"N";"Spacetrooper";644,36;658,33;649,57;649,23;195,03;96,18;25,29;64,37;69,42;84,26;85,2;53,65;61,21;96,38
490;"S";"Spacetrooper";635,05;641,65;655,01;647,42;195,06;105,95;27,85;82,76;68,08;79,72;78,63;46,34;54,53;75,16
491;"N";"Spacetrooper";634,31;650,66;659,98;655,74;194,87;101,94;26,84;68,33;67,68;80,84;81,49;46,9;54,83;95,73
492;"N";"Spacetrooper";639,54;645,15;646,95;652,93;195,22;97,73;25,64;66,19;69,45;86,88;80,34;43,52;58,25;23,75
493;"S";"Spacetrooper";639,24;660,58;656,21;648,42;195,02;89,94;23,65;80,87;68;84,21;84,33;54,42;53,39;41,21
494;"N";"Spacetrooper";642,35;655,2;641,09;655,72;195,19;94,8;24,88;66,23;71,18;84,29;87,57;46,74;50,48;34,67
495;"N";"Spacetrooper";639,61;654,52;648,19;641,95;195,04;92,43;24,3;58,69;68,76;81,94;85,22;55,12;52,65;71,8
496;"N";"Spacetrooper";645,21;648,88;649,69;653,67;194,98;91;23,94;61,57;71,11;79,63;81,07;37,56;55,93;5,92
497;"N";"Spacetrooper";644,86;647,17;648,01;654,12;195,05;109,28;28,72;67,32;67,78;79,95;93,27;50,56;56,52;64,69
498;"S";"Spacetrooper";645,45;658,15;651,4;652,88;195,24;102,54;26,9;78,32;68,17;86,9;82,45;50,93;50,56;26,31
499;"N";"Spacetrooper";638,04;653,8;648,74;656,2;195,09;102,22;26,86;59,91;70,33;82,32;92,67;31,19;47,35;44,37
500;"N";"Spacetrooper";643,94;642,13;649,7;653,88;194,94;93,84;24,69;60,12;69,71;80,16;91,72;45,09;42,87;62,4
501;"N";"Sandtrooper";649,07;649,47;655,38;659,06;195,03;96,82;25,45;68,06;70,41;83,66;89,01;36,19;55,32;65,31
502;"N";"Sandtrooper";652,22;641,95;657,93;645,62;195,03;92,34;24,28;67,44;68,69;79,24;81,86;60,92;54,2;13,46
503;"S";"Sandtrooper";644,11;635,27;654,99;651,46;194,99;101,84;26,79;79,82;67,16;83,96;93,71;49,06;48,71;27,99
504;"S";"Sandtrooper";644,6;643,79;649,7;656,78;195,06;102,91;27,05;76,74;69,97;80,19;84,58;60,08;46,03;75,36
505;"S";"Sandtrooper";644,65;646,6;646,77;656,33;194,85;108,19;28,5;88,69;68,31;79,63;89,53;53,34;57,61;43,56
506;"N";"Sandtrooper";651,85;643,85;645,46;648,01;194,83;101,25;26,67;65,34;71;82,92;76,11;51,16;53,96;77,82
507;"S";"Sandtrooper";652,44;632,12;657,11;646,37;194,79;78,36;20,65;87,25;67,9;79,16;77,41;45,71;43,04;95,01
508;"N";"Sandtrooper";652,17;648,88;648,95;649,65;195,05;91,17;23,96;64,93;70,65;85,26;79,24;37,9;48,93;5,7
509;"N";"Sandtrooper";649,27;646,28;649,87;657,99;195,19;83,27;21,86;73,56;71,39;85,93;93,82;46,78;62,74;95,5
510;"N";"Sandtrooper";641,95;636,22;643,57;658,53;194,84;90,52;23,84;63,71;69,91;85,72;82,51;39,05;54,37;54,25
511;"N";"Sandtrooper";645,79;639,34;649,7;658,12;195,02;91,54;24,07;67,3;67,74;86,46;93,47;44,69;50,3;68,06
512;"S";"Sandtrooper";649,01;646,47;646,63;642,42;195,09;92,3;24,25;74,38;67,61;83,96;82,58;48,33;55,81;93,99
513;"S";"Sandtrooper";653,05;635,89;643,16;653,34;195,1;88,05;23,13;71,66;67,06;82,22;80,66;54,52;66,44;73,59
514;"N";"Sandtrooper";651,76;636,08;654,2;645,69;194,97;92,57;24,35;66,7;68,28;86,3;88,98;47,16;60,39;93,48
515;"N";"Sandtrooper";645,64;640;647,56;651,69;194,94;98,03;25,8;68,04;71,97;82,87;79,01;47,09;54,1;26,63
516;"N";"Sandtrooper";643,67;643,86;642,43;655,3;195,14;92,04;24,17;61,74;70,29;80,63;87,59;52,69;57,41;49,39
517;"N";"Sandtrooper";646,72;638,31;646,45;647,17;195,05;101,65;26,72;62,56;69,33;85,84;85,72;58,35;48,03;68,05
518;"N";"Sandtrooper";643,52;638,29;648,16;646,47;194,94;95,01;25;73,54;68,79;82,12;92,79;46,11;51,31;39,65
519;"S";"Sandtrooper";650,41;644,67;649,72;655,57;195,06;95,31;25,05;86,38;69,84;80,8;89,64;40,3;58,93;55,75
520;"S";"Sandtrooper";651,68;640,83;649,02;640,89;194,9;88,96;23,42;72,3;70,34;86,15;78,54;50,65;59,89;33,56
521;"S";"Sandtrooper";660,01;634,81;654,14;642,26;194,88;93,23;24,55;86,62;67,34;83,66;86,98;47,02;55,76;16,11
522;"S";"Sandtrooper";644,99;644,65;654,66;647,69;194,97;105,99;27,88;76,22;69,57;82,06;92,71;48,16;56,22;67,95
523;"N";"Sandtrooper";653,59;639,73;651,39;649,5;195,02;89,85;23,62;65,05;68,67;80,95;91,15;52,28;52,4;66,9
524;"S";"Sandtrooper";652,52;641,28;641,36;654,99;194,83;96,43;25,4;81,1;71,69;85,28;76,49;53,91;47,09;44,75
525;"N";"Sandtrooper";658,78;649,97;648,49;644,13;194,99;96,61;25,41;64,14;67,84;79,71;87,68;52,35;58,42;64,35
526;"S";"Sandtrooper";657,03;646,57;657,31;649,1;194,84;91,37;24,07;76,7;71,83;83,47;84,97;59,53;63,46;12,57
527;"S";"Sandtrooper";648,48;634,22;650,71;646,36;194,85;101,7;26,79;72,11;71,55;83,69;78,22;39,25;45,69;48,14
528;"S";"Sandtrooper";648,9;631,03;652,49;649,74;195,17;94,27;24,75;76,42;71,5;86,74;89,19;46,08;54,26;43,17
529;"S";"Sandtrooper";651,46;628,29;645,87;647,72;194,9;108,51;28,57;78,3;71,43;79,01;87,25;31,19;53,47;50,87
530;"N";"Sandtrooper";651,67;635,23;653,67;654,16;194,9;98,79;26,01;62,8;69,51;86,15;81;49,11;61,76;8,48
531;"S";"Sandtrooper";647,91;642,3;650,87;650,19;194,89;85,25;22,44;83,77;68,4;83,02;84,07;46,97;54,13;80,71
532;"S";"Sandtrooper";642,43;634,49;656,82;653,08;195;114,44;30,1;72,39;67,91;86,74;77,74;48,18;61,85;55,89
533;"N";"Sandtrooper";635,86;636,09;648,36;650,31;194,91;93,57;24,63;62,66;68,46;80,04;75,66;39,92;58,53;84,36
534;"N";"Sandtrooper";658,23;641,79;641,41;648,96;195,15;104,38;27,41;66,14;69,51;84,33;85,98;52,71;64,53;13,73
535;"N";"Sandtrooper";654,48;642,21;659,48;654,63;195,08;91,84;24,13;65,82;71,15;85,27;92,19;46,42;51,43;87,6
536;"N";"Sandtrooper";651,47;640,23;652,8;655,54;195,24;96,57;25,33;66,91;68,34;84,03;80,26;54,32;56,54;85,01
537;"N";"Sandtrooper";651,56;631,02;649,02;649,93;194,97;90,36;23,77;70,21;68,61;85,5;89,46;48,5;53,67;64,69
538;"S";"Sandtrooper";650,47;644,79;647,94;648,75;195,03;91,69;24,11;79,72;69,96;79,66;75,53;36,05;47,14;70,03
539;"N";"Sandtrooper";641,86;638,63;650;649,87;195,07;102,18;26,85;68,17;70,43;82,85;86,05;54,01;48,11;83,59
540;"S";"Sandtrooper";650,56;642,09;644,68;645,77;195,12;89,11;23,41;87,22;67,56;84,56;88,7;45,35;52,81;47,9
541;"S";"Sandtrooper";650,1;647,18;651,75;650,84;194,94;93,13;24,51;75,92;69,57;84,37;88,31;48,31;56,69;82,84
542;"N";"Sandtrooper";655,34;644,58;656,24;652,33;195,16;96,02;25,21;70,79;71,02;81,32;93,19;46,17;45,21;94,93
543;"S";"Sandtrooper";646,57;647,21;650,34;652,23;194,93;97,24;25,59;81,93;69,91;86,85;81,88;54,96;50,51;61,44
544;"S";"Sandtrooper";645,75;638,31;650,87;652,68;194,79;110,43;29,1;78,44;71,6;82,13;85,38;40,73;68,9;62,4
545;"S";"Sandtrooper";647,68;640,92;651,8;642,09;194,89;85,5;22,51;70,95;67,26;86,18;93,05;44,94;53,43;39,48
546;"S";"Sandtrooper";648,3;643,17;646,02;653,64;194,9;115,1;30,3;72,85;70,61;85,56;75,49;53,82;68,49;84,68
547;"S";"Sandtrooper";643,73;644,99;652,9;649,71;194,79;94,03;24,78;78,19;71,87;81,19;77,69;53,54;59,97;20,8
548;"S";"Sandtrooper";646,87;634,69;650,73;657,23;194,94;98,76;25,99;78,02;70,92;85,03;80,74;63,06;63,94;78,39
549;"S";"Sandtrooper";646,44;639,88;645,25;650,08;195,03;107,26;28,2;79,5;69,36;80,91;92,99;45,06;48,28;68,53
550;"N";"Sandtrooper";649,4;649,14;650,97;654,28;194,97;100,05;26,32;58,24;70,4;84,72;83,12;56,71;58,35;88,36
551;"N";"Sandtrooper";653,28;640,51;652,83;652,03;194,94;89,7;23,6;62,13;71,31;83,39;75,37;56,58;66,6;97,77
552;"N";"Sandtrooper";645,38;646;645,34;653,89;195,24;88,88;23,32;61,42;71,37;79,86;91,03;54,64;49;60,39
553;"N";"Sandtrooper";650,87;634,83;638,15;653,49;194,77;89,28;23,53;72,43;69,8;83,45;87,44;51,67;50,88;51,04
554;"S";"Sandtrooper";660,46;641,29;644,57;649,6;194,7;105,34;27,79;82,86;70,37;84,8;77,92;53,76;48,29;81,79
555;"S";"Sandtrooper";652,43;646,09;657,25;653,41;195,04;105,9;27,84;83,38;68,15;80,4;88,87;48,93;50,48;95,08
556;"S";"Sandtrooper";645,77;637,99;649,39;656,43;194,84;102,37;26,97;70,53;67,84;85,91;76,06;58,03;50,84;31,89
557;"N";"Sandtrooper";653,11;639,66;637,93;649,93;195,16;104,17;27,35;62,01;67,74;81,61;85,12;47,57;59,71;81,2
558;"S";"Sandtrooper";647,69;642,67;654,92;646,12;195,12;84,61;22,22;78,74;67,53;80,9;91,64;59,95;58,18;10,88
559;"S";"Sandtrooper";654,41;641,91;652,03;645,09;194,93;101,98;26,84;78,59;68,07;80,57;92,17;62,52;53,87;48,35
560;"N";"Sandtrooper";656,21;639,18;643,94;656,21;194,96;94,26;24,8;59,06;68,19;86,34;85,74;64,55;52,44;49,45
561;"N";"Sandtrooper";640,4;634,93;648;639,16;194,88;100,35;26,42;60,99;71,68;86,45;85,63;45,63;61,55;33,94
562;"S";"Sandtrooper";643,12;633,11;644,14;653,91;194,83;93,54;24,64;79,72;68,71;85,77;77,07;62,56;50,28;67,81
563;"S";"Sandtrooper";643,42;643,28;643,06;640,59;194,96;96,41;25,36;84,08;70,24;79,91;77,86;54,74;57,12;95,13
564;"N";"Sandtrooper";654,27;638,68;647,19;644,88;194,91;101,19;26,64;73,55;69,82;80,32;82,02;52,85;64,49;55,55
565;"S";"Sandtrooper";654,46;638,71;653,9;649,24;195,17;108,34;28,44;75,97;71,89;79,49;78,57;38,21;46,28;45,94
566;"S";"Sandtrooper";646,67;639,83;637,69;639,08;195,09;83,06;21,82;88,81;68,52;80,57;92,36;48,59;52,97;87,19
567;"S";"Sandtrooper";646,51;640,19;648,78;645,15;195,02;87,56;23,02;80,12;67,12;80,75;76,66;46,26;65,51;21,23
568;"S";"Sandtrooper";651,41;631,87;652,44;651,16;195,21;96,51;25,33;73,51;70,91;84,02;77,48;62,29;53,73;63,82
569;"N";"Sandtrooper";654,34;646,69;652,19;645,74;195,21;97,85;25,68;73,2;71,67;81,05;90,28;48,46;51,22;74,08
570;"N";"Sandtrooper";642,01;642,53;654,15;650,61;194,76;91,85;24,21;67,27;67,03;80,96;91,76;44,29;56,36;62,97
571;"S";"Sandtrooper";643,82;640,48;649,1;650,44;195,02;100,53;26,43;81,97;71,59;85,74;93,15;53,74;52,44;55,75
572;"S";"Sandtrooper";646,62;632,81;643,6;643,12;194,85;104,98;27,65;81,04;70,84;81,28;75,53;50,94;53,06;6,49
573;"S";"Sandtrooper";645,63;638,48;645,64;645,11;195,07;100,62;26,44;73,51;70,73;81,34;81,43;53,18;60,83;97,3
574;"S";"Sandtrooper";655,91;643,33;648,42;649,37;195;100,19;26,35;67,74;67,5;85,54;78,12;31,61;42;52,77
575;"N";"Sandtrooper";642,32;640,16;653,44;652,26;195,24;107,88;28,3;69,66;67,6;80,82;88,75;40,26;55,64;53,77
576;"S";"Sandtrooper";651,53;626,1;648,2;655,1;195;92,8;24,4;76,21;67,63;79;89,23;61,53;51,33;66,79
577;"N";"Sandtrooper";656,45;639,88;642,91;650,7;194,99;105,21;27,67;59,54;67,27;84,29;76,25;43,68;62,14;19,56
578;"N";"Sandtrooper";657,44;633,82;645,62;652,76;195,12;94,08;24,71;67,42;67,35;83,35;80,88;50,04;66,49;95,4
579;"N";"Sandtrooper";656,5;641,75;644,54;656;195,05;89,42;23,5;58,97;69,53;79,88;76,61;39,32;50,77;72,24
580;"N";"Sandtrooper";644,74;641,91;649,12;654,84;195,16;103,77;27,25;58,18;71,64;84,35;75;44,69;53,32;27,32
581;"S";"Sandtrooper";647,97;630,88;642,34;649,13;195,1;98,17;25,79;81,95;70,27;85,98;76,95;62,16;50,84;35,43
582;"S";"Sandtrooper";648,72;633,86;646,89;643,51;194,9;97,03;25,54;85,24;68,33;83,39;86,35;46,14;53,72;38,59
583;"S";"Sandtrooper";650;642,91;649,47;652,83;195,19;102,22;26,83;78,93;70,75;82,3;93,7;54,11;56,48;22,85
584;"N";"Sandtrooper";651,84;633,34;647,56;645,78;194,99;95,4;25,09;60,48;69,33;79,68;86,17;37,77;58,82;90,93
585;"N";"Sandtrooper";652,27;641,65;648,47;649,73;194,86;94,64;24,92;71,31;69;83,57;85,06;58,53;48,63;24,38
586;"S";"Sandtrooper";654,43;643,9;659,25;638,92;194,9;104,42;27,49;86,35;70,51;85,12;80,27;43,81;58,67;56,4
587;"S";"Sandtrooper";648,06;642,33;657,64;642,81;195,01;110,35;29,02;85,27;71,67;84,04;91,1;49,9;60,78;14,52
588;"N";"Sandtrooper";656,56;647,08;647,91;645,55;194,94;83,81;22,05;65,2;69,13;84,16;89,03;53,28;63,46;95,27
589;"N";"Sandtrooper";653,65;642,51;644,76;654,19;195,03;96,18;25,29;64,37;69,42;84,26;85,2;53,65;61,21;96,38
590;"S";"Sandtrooper";644,65;638,38;647,97;663,08;195,06;105,95;27,85;82,76;68,08;79,72;78,63;46,34;54,53;75,16
591;"N";"Sandtrooper";650,76;646,06;656,34;652,75;194,87;101,94;26,84;68,33;67,68;80,84;81,49;46,9;54,83;95,73
592;"N";"Sandtrooper";645,51;643,6;645,58;639,24;195,22;97,73;25,64;66,19;69,45;86,88;80,34;43,52;58,25;23,75
593;"S";"Sandtrooper";650,93;645,53;648,1;653,46;195,02;89,94;23,65;80,87;68;84,21;84,33;54,42;53,39;41,21
594;"N";"Sandtrooper";651,87;638,62;648,08;653,37;195,19;94,8;24,88;66,23;71,18;84,29;87,57;46,74;50,48;34,67
595;"N";"Sandtrooper";652,94;636,86;650,95;649,69;195,04;92,43;24,3;58,69;68,76;81,94;85,22;55,12;52,65;71,8
596;"N";"Sandtrooper";646,48;634,74;649,12;646,55;194,98;91;23,94;61,57;71,11;79,63;81,07;37,56;55,93;5,92
